Unnamed: 0,French,English
1,chercher,search
2,pensais,thought
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,chaque,each
15,parlé,speak
16,arrivé,come
20,pendant,while
21,revoir,meet again
22,aucune,any
23,place,square
24,parle,speak
26,savais,knew
30,pourrais,could
31,affaire,case
32,donner,give
33,type,type
35,endroit,place
36,yeux,eyes
38,dont,whose
40,premier,first
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
47,sois,be
48,tiens,here
49,matin,morning
50,tellement,so much
51,enfant,child
52,point,point
53,venu,came
55,pardon,sorry
56,venez,come
57,devant,in front of
58,vers,towards
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,mis,placed
63,aimerais,would like to
64,aujourd'hui,today
65,cause,cause
67,espère,hope
68,attendez,Wait
69,nouvelle,new
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,fin,end
77,croire,believe
79,gros,large
80,plutôt,rather
81,aura,will have
82,filles,girls
83,jouer,to play
84,bureau,office
